Crash Event,crash link,내용,사용자 수,이벤트 수,90일간 사용자 수,90일간 이벤트 수,진행상태,수정 현황,수정 버전,Jira 이슈 필드,최초 보고 일자
BaseActivityExtensionKt.showDialogFragment,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/20436682d6d99682f756c33ab0863d8c,비활성화된 화면에서 팝업 노출시도로 State오류 발생,264,286,7500,9200,반영 후 모니터링 중,,,BD-548,2024-08-07
android.app.ActivityThread.throwRemoteServiceException,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/9421d1fbdf562a695d8ce224737b99eb?time=last-twenty-four-hours&types=crash,"- resourceId 관련
- service notification 실행시 잘못된 icon resource 참조 에러",12,13,1020,1268,원인 파악 중,,,BD-506,2024-05-30
ProgressBar.onRestoreInstanceState,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/3e39b7c2c40db4cb9a07d98459b26c2e,화면복귀시 ProgressBar  상태 문제,7,7,32,32,발생 추이 모니터링,,,,2024-08-28
android.app.ActivityThread.throwRemoteServiceException,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/e3048ef8b11e0bd78c1f94e88f73d1ac,"- resourceId 관련
- startForeground함수를 실행하기 위한 notification 실행 실패
- OS13 이상",5,5,286,299,원인 파악 중,,,BD-411,2024-05-30
NetworkService.run,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/9418ae7cc1cca4d4a1b39c0dc8daf361?time=last-twenty-four-hours&types=crash,adpie 라이브러리내에서 발생하는 OOM,3,3,33,34,발생 추이 모니터링,,,,2024-06-12
android.app.ActivityThread$H.handleMessage,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/0055b5565d49825afb5c19d78ab58fd4,"- resourceId 관련
- notification이 정상 실행되지 않아 startForeground() 함수가 실행되지 못함",2,2,253,545,반영 후 모니터링 중,,2.4.6,BD-307,2024-05-30
android.app.ActivityThread.throwRemoteServiceException,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/4263de835bf1523a397818023de4d902,"- resourceId 관련
- startForeground함수를 실행하기 위한 notification 실행 실패
- OS12 이하",2,2,145,200,원인 파악 중,,,BD-411,2024-05-30
ActivityThread.generateForegroundServiceDidNotStartInTimeException,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/bf0aa132fee08d894d95a404d1a44d14?time=last-twenty-four-hours&types=crash,"- WalkService 이슈
- startFoergroundService 함수 내에서 startForeground 함수를 실행하지 못해서 발생",2,2,244,245,발생 추이 모니터링,,,,2024-06-13
"CancellableContinuationImpl.resumedState
",https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/40f3c09f1360ebd2afd4441a6ad482d3?hl=ko&time=last-twenty-four-hours&types=crash,"OOM 발생 (갤러리 화면, Coroutine내부)",2,2,20,20,발생 추이 모니터링,,,,2024-07-08
Parcel.createException,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/0ae0edf6cefe5e2d274e4a6c77a7dd51?time=last-twenty-four-hours&types=crash,"- webDetailActivity에서 발생
- 자세한 원인 파악 필요",1,1,2,2,원인 파악 중,,,,2024-05-30
android.app.ActivityThread.handleCreateService,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/30805a6146c0b33feed724acdf88553d?time=last-twenty-four-hours&types=crash,System 종료시점에 서비스 생성 관련 로직 시도하여 발생,1,1,41,99,발생 추이 모니터링,,,,2024-05-30
