Crash Event,내용,사용자 수,이벤트 수,90일간 사용자 수,90일간 이벤트 수,수정 현황,Jira 이슈 필드
BaseActivityExtensionKt.showDialogFragment,비활성화된 화면에서 팝업 노출시도로 State오류 발생,264,286,7500,9200,,BD-548
android.app.ActivityThread.throwRemoteServiceException,"- resourceId 관련
- service notification 실행시 잘못된 icon resource 참조 에러",12,13,1020,1268,,BD-506
ProgressBar.onRestoreInstanceState,화면복귀시 ProgressBar  상태 문제,7,7,32,32,,
android.app.ActivityThread.throwRemoteServiceException,"- resourceId 관련
- startForeground함수를 실행하기 위한 notification 실행 실패
- OS13 이상",5,5,286,299,,BD-411
NetworkService.run,adpie 라이브러리내에서 발생하는 OOM,3,3,33,34,,
android.app.ActivityThread$H.handleMessage,"- resourceId 관련
- notification이 정상 실행되지 않아 startForeground() 함수가 실행되지 못함",2,2,253,545,,BD-307
android.app.ActivityThread.throwRemoteServiceException,"- resourceId 관련
- startForeground함수를 실행하기 위한 notification 실행 실패
- OS12 이하",2,2,145,200,,BD-411
ActivityThread.generateForegroundServiceDidNotStartInTimeException,"- WalkService 이슈
- startFoergroundService 함수 내에서 startForeground 함수를 실행하지 못해서 발생",2,2,244,245,,
"CancellableContinuationImpl.resumedState
","OOM 발생 (갤러리 화면, Coroutine내부)",2,2,20,20,,
Parcel.createException,"- webDetailActivity에서 발생
- 자세한 원인 파악 필요",1,1,2,2,,
android.app.ActivityThread.handleCreateService,System 종료시점에 서비스 생성 관련 로직 시도하여 발생,1,1,41,99,,
ActivityThread.installContentProviders,설치시 시스템이 종료되어 발생,1,1,12,15,,
org.chromium.base.JniAndroid.handleException,크롬 WebView Native Exception에 의한 크래시,1,1,124,132,,BD-379
ActivityThread.handleLaunchActivity,Activity종료시 WindowManager에 붙어있지 않아 제거할 수 없음,1,1,5,5,,
android.app.ActivityThread.handleStopService,DeadSystemException - Service Stop 시도 시,1,1,14,24,,
ActivityClient.activityStopped,activity 종료 이후 stop이 호출,1,1,5,5,,
StepManagerImpl$init$1.invokeSuspend,OOM 발생(걸음 수 계산),1,1,5,5,,
ExitAppDialog.showNaverAd,addView시 기존View가 남아있어서 발생하는 문제,1,1,8,8,,
org.chromium.content.browser.selection.SelectionPopupControllerImpl.C,웹뷰에서만 사용되는 특정 팝업이 화면 종료시 정상 종료되지 않아 발생,0,0,41,43,,BD-304
android.app.ActivityThread.throwRemoteServiceException,"- resourceId 관련
- startForeground함수를 실행하기 위한 notification 실행 실패",0,0,2,2,,
WalkService$updateNotification$1.invokeSuspend,System 종료시점에 crashlytics 로깅을 시도하여 발생,0,0,35,63,,
BinderProxy.transactNative,intent 전달시 누수 발생,0,0,4,5,,BD-405
org.chromium.ui.base.DeviceFormFactor.isTablet,DeviceFormFactor.isTablet 내부에서 Resource 확인되지 않아 발생,0,0,17,19,,BD-417
a.getStringNullable,"- 쇼핑탭으로 이동 시 OOM 발생
- 자세한 사항 추가 분석 필요",0,0,0,0,,
org.chromium.ui.base.ViewAndroidDelegate.startDragAndDrop,webView에서 드래그 시작 및 종료시 좌표관련 음수로 인해 발생,0,0,0,0,,
ViewRootImpl.setView,2.4.4 반영 후 재발생,0,0,17,22,,BD-306
android.app.ActivityThread.handleUnbindService,System 종료시점에 service unbind를 시도하여 발생,0,0,24,28,,
WalkService$Companion.startService,ForegroundService가 일정시간 안에 되지 않아 발생하는 크래시,0,0,0,0,,BD-416
BaseActivity.onResume,"OS 8, 9에서만 발생",0,0,4,5,,BD-419
WebRequest.makeRequest,Unity3D광고 처리중 발생,0,0,5,5,,
SQLiteConnection.nativeExecuteForCursorWindow,Sqlite db에 내용을 추가할 디스크 공간이 없는 경우 발생,0,0,1,1,,
Daemons$FinalizerWatchdogDaemon.refQueueTimeoutException,galaxy s23FE 모델에서만 발생,0,0,11,11,,
BaseActivity.onPause,"2.4.4에 적용 배포  됐으나,  ‘2024. 5. 8’ 2.4.5에 1회 재현됨 발생 확인 되므로 다시 진행중으로 변경",0,0,3,3,,BD-306
Parcel.readException,AOS8의 저사양 단말(Galaxy A5(2017))에서 발생,0,0,1,1,,
zq1.g,시스템이 죽은 상태에서 걸음수 sync를 시도해서 발생,0,0,1,1,,
ViewRootImpl.obtainQueuedInputEvent,저사양 단말 대비 과도한 메모리 사용으로 OOM,0,0,1,1,,
org.chromium.content.browser.GestureListenerManagerImpl.f,SelectionPopupControllerImpl.C 함수가 정상 동작하지 않아 발생,0,0,7,7,,
com.pincrux.offerwall.ui.base.a.b,pincrux offerwall 라이브러리 관련 NullPointerException,0,0,2,2,,
Parcel.createExceptionOrNull,remoteException과 연관되어 발생,0,0,5,5,,
MdfUtils.getName,삼성 보안관련 라이브러리에서 OOM 발생으로 추정,0,0,1,1,,
com.igaworks.ssp.common.n.a$b.run,IGAWorks 관련 함수에서 OOM 발생,0,0,3,3,,
LayoutChallengeListBindingImpl.executeBindings,챌린지탭 - 챌린지리스트에서 OOM 발생,0,0,1,1,,
com.igaworks.ssp.common.n.a.b,adpopcorn(IGAWorks) 라이브러리 내에서 OOM 발생,0,0,9,9,,
AppInitializer.doInitialize,시스템의 앱 실행 이벤트 공급시 발생,0,0,2,2,,
ServiceConnection.lambda$new$0,healthConnect binder 관련 크래시,0,0,1,1,,
Preconditions.outOfBounds,매일 버튼 누르기 혜택내에서 OOB 발생,0,0,1,1,,
org.chromium.content.browser.GestureListenerManagerImpl.g,benefitID 9 혜택에서 제스쳐관련 크래시,0,0,1,1,,
LimitedDispatcher.dispatch,coroutine dispatcher의 최대 개수를 초과하여 발생,0,0,1,1,,
RecordingCanvas.throwIfCannotDraw,뷰에 너무 큰 bitmap을 그리려고 시도시 발생,0,0,3,4,,
AlbumActivity.getPictureList,사진목록 로드중 경로를 찾을 수 없는 경우 발생,0,0,3,3,,
Pools$SimplePool.<init>,OOM 발생 (챌린지 Fragment 내에서 ConstraintLayout 그리는 중),0,0,1,1,,
android.app.ActivityThread.handleServiceArgs,DeadSystemException - FCM Service 생성 시도 시,0,0,7,8,,
ViewRootImpl.checkThread,"Thread에서 UI 접근 ",0,0,69,106,"2.4.9 적용 후 모니터링 중, 8/20 2.5.0 1건 발생",BD-491
Parcel.readBundle,OOM 발생(홈 화면접근 시),0,0,1,1,,
android.app.ActivityThread.handleSleeping,DeadSystemException,0,0,5,7,,
ImageAssetManager.bitmapForId,OOM 발생(홈 화면 Bitmap 접근 시),0,0,2,2,,
SolverVariable.<init>,OOM 발생(챌린지 탭 ConstraintLayout 관련),0,0,8,9,,
